Column,Data_Type
mcrh_DEMA_5_TEMA_100,int64
mcrh_DEMA_5_TRIMA_100,int64
mcrh_DEMA_5_WMA_100,int64
mcrh_DEMA_5_ti_h20,int64
mcrh_EMA_5_DEMA_10,int64
mcrh_EMA_5_EMA_10,int64
mcrh_EMA_5_KAMA_10,int64
mcrh_EMA_5_SMA_10,int64
mcrh_EMA_5_T3_10,int64
mcrh_EMA_5_TEMA_10,int64
mcrh_EMA_5_TRIMA_10,int64
mcrh_EMA_5_WMA_10,int64
mcrh_EMA_5_DEMA_20,int64
mcrh_EMA_5_EMA_20,int64
mcrh_EMA_5_KAMA_20,int64
mcrh_EMA_5_SMA_20,int64
mcrh_EMA_5_T3_20,int64
mcrh_EMA_5_TEMA_20,int64
mcrh_EMA_5_TRIMA_20,int64
mcrh_EMA_5_WMA_20,int64
mcrh_EMA_5_DEMA_50,int64
mcrh_EMA_5_EMA_50,int64
mcrh_EMA_5_KAMA_50,int64
mcrh_EMA_5_SMA_50,int64
mcrh_EMA_5_T3_50,int64
mcrh_EMA_5_TEMA_50,int64
mcrh_EMA_5_TRIMA_50,int64
mcrh_EMA_5_WMA_50,int64
mcrh_EMA_5_DEMA_100,int64
mcrh_EMA_5_EMA_100,int64
mcrh_EMA_5_KAMA_100,int64
mcrh_EMA_5_SMA_100,int64
mcrh_EMA_5_T3_100,int64
mcrh_EMA_5_TEMA_100,int64
mcrh_EMA_5_TRIMA_100,int64
mcrh_EMA_5_WMA_100,int64
mcrh_EMA_5_ti_h20,int64
mcrh_KAMA_5_DEMA_10,int64
mcrh_KAMA_5_EMA_10,int64
mcrh_KAMA_5_KAMA_10,int64
mcrh_KAMA_5_SMA_10,int64
mcrh_KAMA_5_T3_10,int64
mcrh_KAMA_5_TEMA_10,int64
mcrh_KAMA_5_TRIMA_10,int64
mcrh_KAMA_5_WMA_10,int64
mcrh_KAMA_5_DEMA_20,int64
mcrh_KAMA_5_EMA_20,int64
mcrh_KAMA_5_KAMA_20,int64
mcrh_KAMA_5_SMA_20,int64
mcrh_KAMA_5_T3_20,int64
mcrh_KAMA_5_TEMA_20,int64
mcrh_KAMA_5_TRIMA_20,int64
mcrh_KAMA_5_WMA_20,int64
mcrh_KAMA_5_DEMA_50,int64
mcrh_KAMA_5_EMA_50,int64
mcrh_KAMA_5_KAMA_50,int64
mcrh_KAMA_5_SMA_50,int64
mcrh_KAMA_5_T3_50,int64
mcrh_KAMA_5_TEMA_50,int64
mcrh_KAMA_5_TRIMA_50,int64
mcrh_KAMA_5_WMA_50,int64
mcrh_KAMA_5_DEMA_100,int64
mcrh_KAMA_5_EMA_100,int64
mcrh_KAMA_5_KAMA_100,int64
mcrh_KAMA_5_SMA_100,int64
mcrh_KAMA_5_T3_100,int64
mcrh_KAMA_5_TEMA_100,int64
mcrh_KAMA_5_TRIMA_100,int64
mcrh_KAMA_5_WMA_100,int64
mcrh_KAMA_5_ti_h20,int64
mcrh_SMA_5_DEMA_10,int64
mcrh_SMA_5_EMA_10,int64
mcrh_SMA_5_KAMA_10,int64
mcrh_SMA_5_SMA_10,int64
mcrh_SMA_5_T3_10,int64
mcrh_SMA_5_TEMA_10,int64
mcrh_SMA_5_TRIMA_10,int64
mcrh_SMA_5_WMA_10,int64
mcrh_SMA_5_DEMA_20,int64
mcrh_SMA_5_EMA_20,int64
mcrh_SMA_5_KAMA_20,int64
mcrh_SMA_5_SMA_20,int64
mcrh_SMA_5_T3_20,int64
mcrh_SMA_5_TEMA_20,int64
mcrh_SMA_5_TRIMA_20,int64
mcrh_SMA_5_WMA_20,int64
mcrh_SMA_5_DEMA_50,int64
mcrh_SMA_5_EMA_50,int64
mcrh_SMA_5_KAMA_50,int64
mcrh_SMA_5_SMA_50,int64
mcrh_SMA_5_T3_50,int64
mcrh_SMA_5_TEMA_50,int64
mcrh_SMA_5_TRIMA_50,int64
mcrh_SMA_5_WMA_50,int64
mcrh_SMA_5_DEMA_100,int64
mcrh_SMA_5_EMA_100,int64
mcrh_SMA_5_KAMA_100,int64
mcrh_SMA_5_SMA_100,int64
mcrh_SMA_5_T3_100,int64
mcrh_SMA_5_TEMA_100,int64
mcrh_SMA_5_TRIMA_100,int64
mcrh_SMA_5_WMA_100,int64
