	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_good9__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.25	7.21	7.23	7.25	8.93	9.52	10.26	11.11	11.76	12.9	10.71	12.0	13.64	15.0	11.76	13.33	16.67	11.11	16.67	-1.0
TFm_UBER_pos_good9_mult_linear	65.41	0.62	9.0	11.7	12.0	276.0	0.632	0.1425	0.2739	0.5916	0.6639	0.6908	0.7125	0.7263	0.7378	0.7553	0.761	0.7646	0.7727	0.7798	0.7818	0.7833	0.7855	0.7886	0.7984	0.8099	0.8122	0.8211	0.8374	0.9308
TFm_UBER_pos_good9_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	5.8	5.41	6.02	7.14	7.14	9.52	10.26	11.11	9.09	9.68	10.71	12.0	13.64	15.0	17.65	21.43	27.27	22.22	16.67	-1.0
TFm_UBER_pos_good9_mult_dense2	87.45	0.29	15.0	20.2	12.0	276.0	0.5851	0.3623	0.0	0.1789	0.7621	0.8281	0.8671	0.8856	0.9018	0.9145	0.9207	0.9213	0.9229	0.9261	0.9314	0.9324	0.937	0.9417	0.9469	0.9574	0.9661	0.9696	0.9742	0.9951
TFm_UBER_pos_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.25	7.27	7.23	8.7	10.91	14.29	15.38	16.67	17.65	19.35	21.43	20.0	22.73	20.0	23.53	14.29	16.67	22.22	16.67	-1.0
TFm_UBER_pos_good9_mult_lstm	91.22	0.21	20.0	19.2	12.0	276.0	0.3471	0.3934	0.0	0.0006	0.0776	0.3975	0.675	0.8142	0.8574	0.9151	0.9173	0.9207	0.924	0.9349	0.9409	0.9439	0.952	0.9589	0.9651	0.9726	0.9789	0.9868	0.9904	0.9998
TFm_UBER_pos_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.29	7.25	7.27	8.43	8.7	10.71	11.9	12.82	13.89	14.71	16.13	17.86	20.0	21.74	25.0	23.53	28.57	33.33	44.44	66.67	-1.0
TFm_UBER_pos_good9__mult_gru	80.82	0.42	9.0	16.6	12.0	276.0	0.6625	0.138	0.2949	0.5704	0.6972	0.7232	0.7549	0.7705	0.7847	0.8058	0.8078	0.8092	0.8137	0.8165	0.8189	0.8202	0.8233	0.8245	0.8346	0.8493	0.854	0.8577	0.8641	0.912
TFm_UBER_pos_good9__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.97	9.91	9.64	10.14	10.91	11.9	12.82	13.89	14.71	16.13	14.29	16.0	18.18	20.0	23.53	14.29	18.18	22.22	33.33	-1.0
TFm_UBER_pos_reg4_mult_28	82.96	0.39	18.0	33.3	19.0	276.0	0.5385	0.2167	0.0778	0.3764	0.5308	0.594	0.6529	0.7003	0.7463	0.7899	0.7979	0.8056	0.8129	0.8261	0.8415	0.848	0.8609	0.8779	0.9024	0.9254	0.9323	0.9362	0.9391	0.9954
