	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_PYPL_pos_reg4_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.06	7.52	6.54	7.5	8.82	9.43	12.5	10.81	11.43	12.5	13.79	14.81	16.67	18.18	10.53	12.5	14.29	20.0	25.0	28.57	-1.0
TFm_PYPL_pos_reg4_mult_lstm	97.63	0.08	16.0	20.1	15.0	265.0	0.3803	0.4179	0.0	0.0036	0.1171	0.3745	0.8101	0.9032	0.9456	0.9694	0.9721	0.9824	0.9846	0.9862	0.9901	0.9919	0.9941	0.9956	0.9965	0.9972	0.998	0.9991	0.9994	0.9999
TFm_PYPL_pos_reg4_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.58	9.77	11.32	15.0	16.67	20.75	22.5	24.32	22.86	18.75	20.0	22.22	20.83	22.73	15.79	17.65	21.43	18.18	12.5	16.67	-1.0
TFm_PYPL_pos_reg4__mult_gru	90.37	0.23	10.0	20.1	15.0	265.0	0.4993	0.2648	0.0382	0.257	0.5677	0.6319	0.6715	0.6928	0.7158	0.7662	0.7768	0.8041	0.8091	0.8123	0.8308	0.8472	0.8606	0.8662	0.8702	0.8785	0.9018	0.9432	0.9541	0.9821
TFm_PYPL_pos_reg4__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.53	9.85	12.26	13.75	16.42	15.09	17.5	18.92	14.29	15.62	16.67	18.52	20.83	22.73	26.32	31.25	28.57	27.27	37.5	50.0	-1.0
TFm_PYPL_pos_low1_mult_64	90.31	0.24	9.0	17.6	21.0	265.0	0.5761	0.1354	0.2322	0.4575	0.5951	0.6228	0.6495	0.6782	0.6951	0.721	0.7262	0.7304	0.7404	0.7427	0.7504	0.7547	0.7611	0.7671	0.7766	0.7909	0.7985	0.8004	0.8091	0.8688
TFm_PYPL_pos_low1_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.61	12.88	15.09	18.75	20.9	20.75	20.0	18.92	17.14	18.75	17.24	14.81	16.67	18.18	20.0	18.75	14.29	9.09	11.11	16.67	-1.0
TFm_PYPL_pos_low1_mult_128	94.55	0.15	9.0	20.3	21.0	265.0	0.5229	0.1655	0.0969	0.4022	0.5446	0.5772	0.6266	0.6511	0.6737	0.6943	0.7	0.7039	0.7066	0.7203	0.7224	0.7247	0.7312	0.7355	0.7406	0.7591	0.7746	0.7931	0.8012	0.919
TFm_PYPL_pos_low1_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.05	13.53	16.04	17.5	18.18	20.75	22.5	24.32	22.86	18.75	20.0	18.52	20.83	22.73	21.05	25.0	28.57	27.27	25.0	33.33	-1.0
TFm_PYPL_pos_low1__simp_cordo	84.25	0.33	16.0	31.6	21.0	265.0	0.6366	0.2677	0.0294	0.5124	0.7422	0.783	0.8164	0.8352	0.8512	0.8629	0.8655	0.8671	0.871	0.8738	0.8747	0.8807	0.8876	0.894	0.9033	0.9139	0.9305	0.9389	0.9461	0.964
TFm_PYPL_pos_low1__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.55	15.79	17.92	20.0	19.7	22.64	25.0	24.32	25.71	28.12	26.67	28.57	33.33	36.36	36.84	37.5	42.86	45.45	50.0	33.33	-1.0
TFm_PYPL_pos_low1_mult_linear	72.95	0.55	13.0	18.4	21.0	265.0	0.697	0.1834	0.1935	0.5717	0.714	0.7721	0.8302	0.8549	0.8785	0.9028	0.9063	0.9105	0.9216	0.9303	0.9355	0.9392	0.9421	0.9456	0.9493	0.9528	0.9559	0.961	0.9637	0.9818
TFm_PYPL_pos_low1_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.61	14.29	16.04	13.75	16.67	18.87	17.5	18.92	20.0	18.75	20.0	21.43	20.83	13.64	15.79	12.5	14.29	20.0	25.0	33.33	-1.0
TFm_PYPL_pos_low1_mult_dense2	80.62	0.44	8.0	20.8	21.0	265.0	0.667	0.0735	0.5073	0.6038	0.6787	0.7009	0.7172	0.7273	0.7365	0.7476	0.7486	0.7509	0.7518	0.7533	0.7542	0.759	0.7616	0.7624	0.7637	0.7682	0.7697	0.7734	0.7826	0.7948
TFm_PYPL_pos_low1_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.04	10.61	13.21	15.0	16.42	15.09	17.5	18.92	20.0	18.75	20.0	22.22	24.0	19.05	21.05	25.0	28.57	25.0	12.5	16.67	-1.0
TFm_PYPL_pos_low1_mult_lstm	93.07	0.2	11.0	27.0	21.0	265.0	0.3183	0.2977	0.0004	0.0549	0.2145	0.3248	0.462	0.594	0.6622	0.7406	0.7445	0.7714	0.7888	0.8113	0.8127	0.8204	0.8243	0.8263	0.8306	0.8332	0.8395	0.8436	0.8575	0.9773
TFm_PYPL_pos_low1_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.55	15.79	19.81	21.52	22.39	22.64	20.0	21.62	22.86	25.0	23.33	25.93	29.17	27.27	31.58	25.0	28.57	27.27	37.5	33.33	-1.0
TFm_PYPL_pos_low1__mult_gru	84.12	0.37	8.0	25.8	21.0	265.0	0.5652	0.1003	0.3696	0.488	0.5683	0.5978	0.6231	0.6292	0.6379	0.6511	0.6515	0.6549	0.6564	0.6594	0.6609	0.662	0.6649	0.667	0.6707	0.6974	0.7571	0.8153	0.852	0.8804
TFm_PYPL_pos_low1__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	10.55	14.39	14.15	16.25	19.7	22.64	27.5	24.32	22.86	21.88	23.33	25.93	25.0	27.27	31.58	37.5	35.71	45.45	37.5	50.0	-1.0
